City,Lat,Long,Temp,Humidity,Clouds,Winds
Kudahuvadhoo,2.6708,72.8944,82.98,73,46,17.2
Mar del Plata,-38.0023,-57.5575,58.42,46,96,11.01
Sar-e Pul,35.8333,66.1667,43.43,27,0,1.66
Kattivākkam,13.2167,80.3167,82.49,75,100,7.87
Dicabisagan,17.0818,122.4157,77.74,85,87,5.06
Mgandu,-5.95,34.1333,75.56,38,95,4.81
Nuuk,64.1835,-51.7216,34.41,69,1,9.22
Yulara,-25.2406,130.9889,67.84,28,6,4.61
Castro,-24.7911,-50.0119,58.64,97,100,6.15
Sühbaatar,50.2314,106.2078,26.24,86,13,2.04
Peniche,39.3558,-9.3811,68.56,93,100,6.55
Tucuruí,-3.7661,-49.6725,94.21,41,39,4.94
La Primavera,5.4906,-70.4092,86.95,62,100,4.09
Saint George,37.1041,-113.5841,71.2,27,1,3.0
Hong Kong,22.2855,114.1577,70.45,78,100,1.99
Aleksandrovskiy Zavod,50.9237,117.9374,9.72,93,14,3.22
Meulaboh,4.1363,96.1285,75.94,85,100,2.86
Esperance,-33.8667,121.9,53.44,90,1,3.02
Maţāy,28.419,30.7792,80.92,29,100,10.07
Lagoa,39.05,-27.9833,69.96,83,56,18.14
Fengrun,39.8333,118.1167,38.75,68,2,4.56
Ponta do Sol,32.6667,-17.1,72.28,77,98,3.76
Butaritari,3.0707,172.7902,81.28,73,13,11.48
Sibolga,1.7427,98.7792,74.75,94,100,3.47
Qaanaaq,77.484,-69.3632,24.39,86,100,9.62
Luza,60.6308,47.2512,40.15,82,85,10.47
Esso,55.9333,158.7,25.02,97,97,3.31
Padang,-0.9492,100.3543,77.97,86,100,0.4
Porto Seguro,-16.4497,-39.0647,81.12,74,0,17.27
Vanimo,-2.6741,141.3028,78.19,83,95,3.94
Taoudenni,22.6783,-3.9836,91.87,12,100,11.52
Setermoen,68.861,18.3486,36.1,87,100,1.01
São Gabriel da Cachoeira,-0.1303,-67.0892,89.2,56,100,0.51
Pelym,61.0108,61.9978,43.84,71,100,8.55
Medicine Hat,50.0501,-110.6683,77.2,16,62,5.99
Concordia,-31.393,-58.0209,71.78,50,20,4.0
Altay,47.8667,88.1167,39.61,45,99,7.96
Kaputa,-8.4689,29.6619,75.94,66,88,1.3
Tortolì,39.9256,9.6572,60.73,70,2,5.64
Kapaa,22.0752,-159.319,76.33,77,40,1.99
Riyadh,24.6877,46.7219,83.91,17,0,9.93
De-Kastri,51.4667,140.7833,24.75,83,100,15.23
Bandarbeyla,9.4942,50.8122,77.54,90,47,13.8
Jalu,29.0331,21.5482,71.92,39,0,7.49
Port Alfred,-33.5906,26.891,55.67,70,40,15.79
Plettenberg Bay,-34.0527,23.3716,52.81,76,31,6.98
Tasiilaq,65.6145,-37.6368,15.82,55,47,6.26
Santa Rosa,14.3122,121.1114,80.15,82,97,7.7
Nemuro,43.3236,145.575,41.27,71,2,14.81
Ancud,-41.8697,-73.8203,56.73,67,32,6.29
Fukuechō,32.6881,128.8419,65.93,54,54,17.52
Ambunti,-4.2365,142.8448,72.73,99,97,1.45
Vaini,-21.2,-175.2,75.36,88,40,9.22
Lompoc,34.6391,-120.4579,69.66,69,40,17.0
Manokwari,-0.8667,134.0833,79.41,71,100,3.56
Cherskiy,68.75,161.3,-11.16,100,100,4.25
Manzhouli,49.6,117.4333,22.93,79,3,5.53
Tiksi,71.6872,128.8694,10.06,89,100,8.37
Khatanga,71.9667,102.5,32.74,98,100,13.06
Boguchany,58.3814,97.4531,31.46,94,33,2.73
Puri,19.8,85.85,77.52,89,100,4.76
Talnakh,69.4865,88.3972,34.25,100,100,6.76
Hūn,29.1268,15.9477,74.93,33,0,14.12
São Filipe,14.8961,-24.4956,79.23,75,1,11.52
Washington,47.5001,-120.5015,55.09,36,100,3.04
Atuona,-9.8,-139.0333,78.21,76,99,18.95
Olinda,-8.0089,-34.8553,82.13,69,40,11.5
Lādnūn,27.65,74.3833,75.13,74,99,14.97
Little Rock,34.7465,-92.2896,70.07,33,1,3.44
Galle,6.0367,80.217,80.35,84,99,18.81
Labuhan,-6.8844,112.2051,81.59,79,85,6.67
Searcy,35.2506,-91.7363,69.35,33,1,1.01
Tromsø,69.6496,18.957,34.47,87,75,4.0
Angoram,-4.0625,144.0661,73.69,99,100,1.39
Pimentel,-6.8367,-79.9342,71.89,60,0,23.02
Lakshettipet,18.8667,79.2167,76.44,91,73,2.28
Bathsheba,13.2167,-59.5167,88.41,74,40,11.5
High Level,58.5169,-117.136,38.52,64,100,4.72
Qinzhou,21.95,108.6167,63.07,78,100,14.54
Muriti,-1.9833,32.9167,76.1,66,98,7.36
Tuatapere,-46.1333,167.6833,50.07,95,100,7.49
Hithadhoo,-0.6,73.0833,81.72,79,95,12.35
Kieta,-6.2167,155.6333,79.45,80,91,4.43
Santa Marta,11.2408,-74.199,84.25,74,75,6.91
Kahului,20.8947,-156.47,80.92,64,20,16.11
Kirakira,-10.4544,161.9205,78.64,80,30,1.88
Iqaluit,63.7506,-68.5145,32.7,74,100,4.0
Dingle,10.9995,122.6711,76.17,92,13,5.79
Sayansk,54.1088,102.1648,22.95,93,31,3.31
Mashhad,36.297,59.6062,53.74,28,0,4.61
Carnarvon,-24.8667,113.6333,66.27,63,90,4.61
Bethel,41.3712,-73.414,60.67,60,69,1.01
Makat,47.6469,53.3463,56.16,33,85,12.57
Catalina,32.5056,-110.9211,83.8,24,100,3.0
Kawalu,-7.3817,108.2082,73.04,96,66,0.6
Nyandoma,61.669,40.1991,35.62,84,99,12.55
Necochea,-38.5473,-58.7368,61.03,59,89,10.33
Zacualpan,21.25,-105.1667,96.24,65,0,8.19
Palana,59.1167,159.9667,30.61,68,100,23.31
Bend,44.0582,-121.3153,58.28,31,1,1.99
Grand Gaube,-20.0064,57.6608,74.37,77,10,10.0
Saint Paul Harbor,57.79,-152.4072,42.31,87,90,35.68
Sambava,-14.2667,50.1667,72.3,84,2,9.75
Cabo San Lucas,22.8909,-109.9124,87.28,65,20,13.8
Port Hedland,-20.3167,118.5667,69.85,83,54,9.22
Kilindoni,-7.9139,39.6668,77.65,75,5,9.6
Palakkad,10.7833,76.65,78.85,95,100,5.97
Oranjestad,12.524,-70.027,91.35,62,20,12.66
New Norfolk,-42.7826,147.0587,48.51,67,100,1.99
Todos Santos,23.45,-110.2167,84.24,68,14,8.66
Shache,38.4167,77.2406,54.18,17,100,4.27
Saint-Ambroise,48.5501,-71.3324,51.89,86,100,7.09
Ambon City,-3.6954,128.1814,77.14,94,40,3.44
Reggio Calabria,38.1105,15.6613,59.34,86,61,4.61
Bubaque,11.2833,-15.8333,83.25,74,25,11.14
Vostok,46.4856,135.8833,15.75,74,9,5.32
Mahébourg,-20.4081,57.7,73.69,78,40,12.66
Vallenar,-28.5708,-70.7581,80.19,23,0,10.27
La Santisima Trinidad,-14.8333,-64.9,92.44,36,76,3.74
Nhulunbuy,-12.2333,136.7667,75.81,88,94,2.3
Tataouine,32.9297,10.4518,69.44,34,100,7.45
Leningradskiy,69.3833,178.4167,9.01,96,100,5.23
Tessalit,20.1986,1.0114,89.04,9,0,8.08
Namatanai,-3.6667,152.4333,79.77,79,84,7.83
Vestmanna,62.1564,-7.1664,43.72,87,90,18.41
Morondava,-20.2833,44.2833,76.75,79,0,8.08
Abu Dhabi,24.4667,54.3667,87.42,61,0,10.04
Tura,25.5198,90.2201,73.81,83,100,2.77
Port Augusta,-32.5,137.7667,53.74,56,94,2.46
Cap-Chat,49.1001,-66.6821,53.56,99,100,5.77
Portland,45.5234,-122.6762,57.51,82,100,1.01
Coyhaique,-45.5752,-72.0662,57.15,47,40,9.22
Kruisfontein,-34.0033,24.7314,52.88,72,88,10.49
Tsabong,-26.0217,22.401,57.61,12,8,12.37
Marawi,7.9986,124.2928,67.64,94,25,1.95
Asău,46.4333,26.4,44.6,88,93,2.71
Tagusao,9.1924,117.8141,80.38,83,15,2.68
Lebu,-37.6167,-73.65,55.54,72,0,18.86
Yangambi,0.8102,24.4336,74.55,85,96,1.92
Beira,-19.8436,34.8389,78.89,83,20,16.11
Pangnirtung,66.1451,-65.7125,33.93,58,10,4.32
Independence,39.0911,-94.4155,70.66,35,1,1.99
Along,28.1667,94.7667,71.85,97,99,2.64
Isangel,-19.55,169.2667,76.64,91,100,7.2
Krasnosel'kup,65.7,82.4667,38.93,95,100,13.71
Eugene,44.0521,-123.0867,57.81,80,75,1.99
Srednekolymsk,67.45,153.6833,3.02,98,96,1.41
Yhú,-25.05,-55.9167,67.05,81,100,1.63
Awjilah,29.1081,21.2869,71.69,41,0,8.03
Udachny,66.4167,112.4,29.53,94,100,16.2
Omboué,-1.5746,9.2618,76.75,83,90,8.1
Ashcroft,50.7165,-121.2859,56.48,65,84,4.38
Husavik,66.0449,-17.3389,34.7,84,100,17.52
Bengkulu,-3.8004,102.2655,75.36,93,100,8.34
Belz,47.6751,-3.168,58.96,94,32,5.88
Amberley,39.2048,-84.428,65.3,41,1,8.99
Beyneu,45.3167,55.2,53.55,46,5,14.81
Coquimbo,-29.9533,-71.3436,63.27,66,1,9.84
Yerbogachën,61.2767,108.0108,26.71,86,100,9.37
Kisangani,0.5167,25.2,72.72,91,87,2.84
Dunedin,-45.8742,170.5036,57.79,76,100,8.59
Yeppoon,-23.1333,150.7333,73.18,91,18,8.32
Bayangol,50.6977,103.4656,19.76,93,6,3.06
Opuwo,-18.0607,13.84,74.17,20,6,11.07
Broken Hill,-31.95,141.4333,61.21,36,100,10.47
Marzuq,14.4,46.4667,77.72,37,100,3.29
Mtwara,-10.2667,40.1833,75.6,83,41,9.06
São Paulo de Olivença,-3.3783,-68.8725,90.79,52,67,1.79
Mwene-Ditu,-7.0,23.45,68.86,91,100,1.81
Torbay,47.6666,-52.7314,42.85,92,90,11.5
Adrar,20.5022,-10.0711,90.41,10,100,7.94
Kaitangata,-46.2817,169.8464,49.78,90,100,5.19
Morehead,37.2711,-87.1764,68.07,34,1,1.01
Gal'bshtadt,53.2264,78.9845,38.98,74,7,5.48
Katobu,-4.9408,122.5276,75.81,94,12,3.22
Severo-Kuril'sk,50.6789,156.125,39.4,75,34,39.95
Springfield,37.2153,-93.2982,70.14,39,1,8.01
Usinsk,65.9939,57.5281,35.24,91,51,11.7
Mitú,1.1983,-70.1733,86.47,67,98,1.86
Smithers,54.7804,-127.1743,41.45,69,49,2.1
Sulangan,11.1373,123.7228,83.12,79,5,8.5
Charters Towers,-20.1,146.2667,69.37,94,19,7.25
Supatá,5.061,-74.2372,73.13,91,100,1.57
Mehamn,71.0357,27.8492,39.11,82,100,31.47
Mossamedes,-15.1961,12.1522,65.52,90,37,6.17
Umuahia,5.5263,7.4896,74.21,93,69,4.56
Broome,42.2506,-75.833,55.36,63,75,5.01
Sinnamary,5.3833,-52.95,85.28,66,33,8.84
Port Hardy,50.6996,-127.4199,48.4,80,100,10.09
Gherăeşti,47.0167,26.8167,45.21,69,48,2.13
Florø,61.5996,5.0328,37.4,87,20,4.61
Kaeo,-35.1,173.7833,61.32,97,74,6.73
Antsohihy,-14.8796,47.9875,77.02,66,61,3.27
Almazar,40.3217,69.0106,53.31,27,100,6.06
Egvekinot,66.3167,-179.1667,13.03,85,100,5.35
Pauini,-7.7136,-66.9764,84.4,60,98,4.88
Salalah,17.0151,54.0924,78.89,89,20,4.61
Requena,39.4883,-1.1004,58.33,79,65,4.81
Conakry,9.538,-13.6773,80.37,78,54,7.54
Bereket,39.2446,55.5154,59.0,17,0,14.47
Berlevåg,70.8578,29.0864,39.15,87,75,31.07
Kungurtug,50.5994,97.5228,22.28,84,7,2.55
Fairbanks,64.8378,-147.7164,23.4,79,75,3.44
Jodhpur,26.2867,73.03,79.48,57,42,2.93
Vao,-22.6667,167.4833,72.61,88,0,11.41
Guerrero Negro,27.9769,-114.0611,77.59,39,99,4.63
Kamenka,51.3223,42.7678,50.65,62,100,1.07
San Quintín,30.4833,-115.95,73.24,47,100,10.0
Zhangjiakou,40.81,114.8794,40.06,30,51,1.1
Lorengau,-2.0226,147.2712,81.95,72,84,5.5
Akureyri,65.6835,-18.0878,32.0,98,100,5.14
Kavaratti,10.5669,72.642,81.05,79,99,15.79
São João da Barra,-21.6403,-41.0511,73.49,86,100,14.27
Nalvo,16.8096,120.5108,72.97,88,100,3.67
Serebryanyy Bor,56.8,124.8,15.62,91,100,5.95
Safford,32.834,-109.7076,77.95,22,1,11.5
Argentan,48.75,-0.0167,50.72,75,0,5.77
Petauke,-14.2426,31.3253,82.49,24,40,5.35
Faya,18.3851,42.4509,66.72,24,2,6.98
Tshela,-4.9833,12.9333,76.48,77,16,5.5
Port Antonio,18.18,-76.4612,85.95,70,84,3.69
San Cristobal,7.7669,-72.225,82.58,67,98,5.14
Levice,48.2156,18.6071,48.49,70,86,2.28
Oswego,43.4501,-76.1497,52.41,66,95,17.11
Bambous Virieux,-20.3428,57.7575,73.65,78,40,12.66
Clyde River,70.4692,-68.5914,28.56,78,90,12.37
Kenai,60.5544,-151.2583,36.57,84,75,16.11
Sørland,67.667,12.6934,42.66,66,100,24.67
Muisne,0.6,-80.0333,76.51,80,100,9.6
Labytnangi,66.6572,66.4183,39.47,98,100,11.16
Aksarka,66.5606,67.7975,39.02,97,100,13.58
Waspán,14.7419,-83.9717,84.15,77,39,5.66
Half Moon Bay,37.4636,-122.4286,66.67,56,75,1.99
San Fernando,15.0286,120.6898,81.14,88,37,4.43
Conceição do Mato Dentro,-19.0372,-43.425,73.4,81,99,1.57
Kirkwood,38.5834,-90.4068,68.72,42,1,1.99
Flinders,-34.5833,150.8552,54.07,85,80,1.01
Dauphin,51.1494,-100.0502,67.23,32,0,8.66
Kurud,20.8322,81.7214,74.59,93,94,5.5
Saravan,39.7196,45.6483,48.85,34,30,5.35
Hervey Bay,-25.2986,152.8535,68.04,90,100,9.82
Margate,51.3813,1.3862,55.44,76,6,4.0
Troitskoye,52.9821,84.6757,38.71,80,6,4.74
Nishihara,26.1842,127.7558,71.11,71,40,6.91
Camacha,33.0833,-16.3333,69.22,83,20,8.05
Klaksvík,62.2266,-6.589,45.52,75,99,22.7
Saint Anthony,45.0205,-93.218,65.68,38,1,3.0
Sirsa,29.5333,75.0167,71.69,73,100,10.83
Soyo,-6.1349,12.3689,76.82,82,28,9.26
Myitkyina,25.3833,97.4,70.93,96,47,2.64
Venado Tuerto,-33.7456,-61.9688,73.76,26,100,5.57
La Ronge,55.1001,-105.2842,54.27,52,89,7.96
Rush,53.5223,-6.0931,57.79,89,75,4.61
Avera,33.194,-82.5271,67.95,35,0,6.26
Fortuna,40.5982,-124.1573,60.42,67,90,5.01
Manoel Urbano,-8.8389,-69.2597,86.36,57,100,3.58
Kokopo,-4.352,152.2633,77.07,85,97,4.45
Haysville,37.5645,-97.3523,73.72,34,1,8.01
Saldanha,-33.0117,17.9442,58.33,78,0,15.84
Nouakchott,18.0858,-15.9785,89.13,39,3,5.61
Hasaki,35.7333,140.8333,52.2,58,63,21.32
Ambulu,-8.345,113.6058,75.61,89,13,2.42
Assiut,27.181,31.1837,82.24,27,76,10.92
Saint-Augustin,51.226,-58.6502,43.34,62,100,13.98
Irtyshskiy,58.3333,68.1333,38.62,78,16,8.08
Nago,26.5881,127.9761,71.56,66,40,12.44
Oranjemund,-28.55,16.4333,57.06,75,0,23.26
Acaraú,-2.8856,-40.12,85.06,66,7,20.85
Chokurdakh,70.6333,147.9167,-7.55,100,100,2.73
Richards Bay,-28.783,32.0377,61.39,92,100,12.66
Biak,-0.9131,122.8766,76.96,87,63,0.49
Turaif,31.6725,38.6637,69.04,43,100,11.7
Katsuura,35.1333,140.3,56.7,63,95,22.66
Praia,14.9215,-23.5087,84.74,42,20,8.05
Palora,-1.7,-77.9333,73.51,65,100,4.16
Biltine,14.5333,20.9167,88.2,20,37,10.67
Makkah al Mukarramah,21.4267,39.8261,87.71,33,5,3.98
Djibouti,11.5,42.5,83.62,43,0,9.66
Caravelas,-17.7125,-39.2481,81.3,62,21,9.89
Estelle,29.8458,-90.1067,71.46,40,40,6.91
Baykit,61.67,96.37,36.25,93,100,3.49
Toora-Khem,52.4675,96.11,24.87,74,1,1.48
Souillac,-20.5167,57.5167,73.78,78,40,12.66
Otane,-39.8833,176.6333,62.01,77,100,5.26
Teya,60.3778,92.6267,33.33,96,53,4.03
Waddān,29.1614,16.139,74.75,34,0,16.17
Rabo de Peixe,37.8,-25.5833,71.11,88,40,9.22
Bonthe,7.5264,-12.505,80.65,79,100,9.73
Roald,62.5833,6.1333,40.59,87,40,9.22
Belyy Yar,53.6039,91.3903,24.69,93,34,4.47
Lahaina,20.8783,-156.6825,81.12,77,51,8.39
Cairo Montenotte,44.4031,8.2746,53.55,99,0,1.68
Forsytheganj,52.6333,29.7333,43.3,70,99,9.04
North Battleford,52.7834,-108.2847,69.4,24,2,4.38
Lālmohan,22.3384,90.7419,79.36,88,100,23.58
Khovd,48.0056,91.6419,33.62,48,0,1.63
Aklavik,68.2191,-135.0107,21.27,76,17,10.54
Moerai,-22.4333,-151.3333,76.41,82,100,13.38
Flin Flon,54.7682,-101.865,55.42,44,74,12.44
Marsh Harbour,26.5412,-77.0636,81.0,65,5,10.13
Rypefjord,70.6333,23.6667,36.07,80,75,20.71
Zhigansk,66.7697,123.3711,11.41,96,100,9.98
Ballater,57.0493,-3.0402,50.88,99,100,2.24
Hualmay,-11.0964,-77.6139,67.39,76,100,10.56
Constitución,-35.3333,-72.4167,62.1,58,3,17.63
Tevaitoa,-16.7833,-151.5,79.99,79,15,20.07
Beidao,34.5686,105.8933,47.57,86,100,1.32
Calvinia,-31.4707,19.776,51.06,37,0,5.77
Luquillo,18.3725,-65.7166,83.12,89,20,0.0
Ponta Delgada,37.7333,-25.6667,72.32,88,40,9.22
Bilibino,68.0546,166.4372,-8.55,98,100,3.2
Lugovoy,42.9472,72.7644,49.44,44,1,3.49
Anloga,5.7947,0.8973,81.1,81,100,13.0
Saint-Pierre,-21.3393,55.4781,69.22,77,0,5.75
Ejido Hermosillo,32.5121,-114.9238,84.61,9,97,10.67
Neuquén,-38.9516,-68.0591,69.69,26,0,8.05
Yar-Sale,66.8333,70.8333,38.84,97,100,13.98
Victor Harbor,-35.5667,138.6167,53.31,86,80,4.76
Río Gallegos,-51.6226,-69.2181,64.45,27,0,23.02
Iquique,-20.2208,-70.1431,60.84,70,83,10.11
Qaqortoq,60.7167,-46.0333,39.7,51,81,3.49
Salisbury,51.0693,-1.7957,52.86,88,2,4.25
Alirajpur,22.3031,74.3546,75.36,80,100,4.76
Edd,13.9297,41.6925,87.3,66,0,5.26
Pevek,69.7008,170.3133,8.47,97,58,2.98
Buraidah,26.326,43.975,80.67,21,0,12.59
Stara Vyzhivka,51.4376,24.44,46.26,57,100,8.9
Port Shepstone,-30.7414,30.455,61.25,74,100,18.34
Meaford,44.6001,-80.583,52.2,67,66,14.03
Gayéri,12.6497,0.4931,92.86,29,100,6.58
Les Cayes,18.2,-73.75,86.86,62,100,8.01
Nantucket,41.2835,-70.0995,64.24,57,1,13.8
Nchelenge,-9.3451,28.734,78.06,63,99,13.35
Bitung,1.4451,125.1824,76.05,82,97,3.18
Carora,10.1755,-70.0827,90.66,47,77,6.49
Hay River,60.8156,-115.7999,35.13,67,8,10.58
Gazli,40.1333,63.45,57.61,21,0,8.41
Ust'-Kulom,61.6864,53.6902,39.87,89,100,8.88
Luang Prabang,19.8856,102.1347,67.51,91,100,2.53
Caucaia,-3.7361,-38.6531,83.97,67,0,13.8
Villamontes,-21.25,-63.5,84.47,31,100,5.82
Turan,16.0678,108.2208,76.98,94,75,2.3
Los Llanos de Aridane,28.6585,-17.9182,71.35,83,40,6.91
Nha Trang,12.25,109.1833,77.0,93,100,5.53
Mount Gambier,-37.8333,140.7667,42.21,96,66,2.75
Tilichiki,60.4667,166.1,16.59,72,100,9.01
Falun,60.6036,15.626,37.47,65,0,9.51
Paamiut,61.994,-49.6678,35.2,48,0,4.83
Hedaru,-4.5,37.9,72.97,68,9,4.7
Trussville,33.6198,-86.6089,65.93,42,1,3.0
Saran,47.9501,1.876,54.55,79,0,3.44
Itaituba,-4.2761,-55.9836,78.58,87,100,8.63
Peleduy,59.6289,112.7406,22.66,89,93,6.49
Walvis Bay,-22.9575,14.5053,58.08,76,100,8.72
Plastun,44.7561,136.2939,27.54,50,15,6.08
Novikovo,51.1537,37.8879,44.85,76,91,5.35
Rossland,49.0831,-117.8022,55.72,56,100,5.99
Ozernovskiy,51.5,156.5167,40.23,79,99,42.23
Bjerkvik,68.5597,17.5189,35.31,89,100,6.11
Dillon,34.4166,-79.3712,68.63,28,0,12.71
Progreso,21.2833,-89.6667,91.51,69,37,11.43
Maceió,-9.6658,-35.7353,85.44,61,40,13.8
Edgewater,28.9889,-80.9023,79.39,57,40,13.8
Grande Prairie,55.1667,-118.8027,37.87,96,100,4.12
Ushumun,52.7833,126.5333,17.06,67,9,4.54
Alofi,-19.0595,-169.9187,77.59,77,22,17.72
Miandrivazo,-19.5167,45.4667,79.9,61,0,5.17
Khandyga,62.6667,135.6,0.41,98,43,1.3
Qiongshan,20.0058,110.3542,73.98,87,100,24.18
Laela,-8.5667,32.05,73.29,46,86,0.31
Te Anau,-45.4167,167.7167,47.5,97,100,1.45
Bandiagara,14.3501,-3.6104,89.98,10,2,6.33
Kropotkin,45.4375,40.5756,59.4,85,79,6.55
Toamasina,-18.1667,49.3833,70.56,78,1,0.74
Narsaq,60.9167,-46.05,39.42,48,31,3.76
Hamilton,39.1834,-84.5333,65.95,43,1,4.0
Kuandian,40.7286,124.7847,32.58,66,5,3.31
Besleney,44.2405,41.7387,54.73,95,100,2.53
Wuwei,37.9281,102.6414,43.36,41,7,1.3
San Patricio,28.017,-97.5169,74.95,34,100,8.14
Bukachacha,52.9833,116.9167,19.27,88,25,3.69
Utiel,39.5667,-1.2,57.65,71,84,5.12
Erzin,36.9559,36.2,66.92,85,15,4.63
Masuguru,-11.3667,38.4167,81.57,51,77,10.54
Beşikdüzü,41.052,39.2284,62.49,87,80,2.13
Bouar,5.934,15.596,68.02,93,100,2.39
Prince George,53.9166,-122.753,40.53,93,90,8.05
Pilar,-9.5972,-35.9567,84.13,55,100,10.83
Poum,-20.2333,164.0167,75.36,84,98,7.92
Trivandrum,8.4833,76.9167,82.38,89,40,5.75
Ulladulla,-35.35,150.4667,47.08,81,0,5.95
Arbagar,51.9438,116.2805,15.33,91,19,2.8
Waipawa,-41.4122,175.5153,55.74,74,2,21.92
Joshīmath,30.5667,79.5667,60.8,93,100,0.63
Lazarev,52.225,141.5131,30.72,72,100,27.38
